link,title,description
"https://blog.nelhage.com/post/concurrent-error-handling/","Concurrent Error Handling","Gemini discussion: https://gemini.google.com/u/0/gem/70802cd062d9/4ca7254db2816115"
https://ohmjs.org/blog/2026/03/12/peg-to-wasm,"Ohm PEG to WASM (Grammar)","https://gemini.google.com/share/3c614fae1a28"
https://web.cs.ucdavis.edu/~su/teaching/ecs240-w17/readings/PLHistoryGoodDesign.PDF,"N. Wirth – Design of Programming Language","https://gemini.google.com/u/0/gem/34a9a1bd4364/e1bf22b3e1f332eb"
"https://nodejs.org/en/blog/vulnerability/march-2026-hashdos","HashDoS Resistant Hash (Node.js Vulnerability)","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/f4606b6fa7deda2c"
"https://cursor.com/blog/fast-regex-search","From grep to Sparse N-Grams (for Search Engines)","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/70615ec92b9a93ed"
"https://nrposner.com/blog/when-vectorized-arrays-arent-enough/","Vectorized NumPy Arrays Aren't Enough","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/6a31b738aa811f21"
https://arxiv.org/pdf/2603.20957,"Finetuning Activates Verbatim Recall of Copyrighted Books in LLMs","https://gemini.google.com/gem/34a9a1bd4364/24294a2afef3ab87"
https://dani2442.github.io/posts/continuous-rl/,"Hamilton-Jacobi-Bellman Equation: RL and Diffusion Models","https://gemini.google.com/gem/34a9a1bd4364/2e33aa222332b44f"
"https://x.com/Fried_rice/status/2038894956459290963","Leaked Claude Code Source Code",""
https://www.aleksandrhovhannisyan.com/blog/local-code-embeds/,"Local Code Embeds (No HTTP)","https://gemini.google.com/gem/70802cd062d9/0163221c45928b8f"
http://feistyduck.com/newsletter/issue_135_web_pki_reimagined_with_merkle_tree_certificates,"Merkle Tree Not ECC Against Qubits","https://gemini.google.com/gem/70802cd062d9/ebd69b92de4a6d59"
https://discourse.llvm.org/t/rfc-clang-reforge-automatic-whole-codebase-source-code-rewriting-tool-for-security-hardening/90283,"Clang-Reforge Pointer Security in C++","https://gemini.google.com/gem/70802cd062d9/5c0400e4d9d13b72"
https://spencermortensen.com/articles/email-obfuscation/,"Email Obfuscation","https://gemini.google.com/gem/70802cd062d9/d7352ff15103ae5f"
https://zerobin.net/?e19cf19c9589d7f4#x4dHmryKSRUAVekqQC+1bTOA82A5HQid55jyiKXikIA=,"Kernel Init Function Call Tree","https://gemini.google.com/gem/70802cd062d9/e549ab992a61c96b"
"https://browsergate.eu/","BrowserGate LinkedIn","https://gemini.google.com/gem/70802cd062d9/4b54b958040a2a3f"
"https://github.com/deejayy/indexical","Local-First Memory in Browser (IndexedDB)","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/b71aeeb88b07a3a9"
"https://unit42.paloaltonetworks.com/axios-supply-chain-attack/","Axios Hack (RAT after OSINT)","https://gemini.google.com/gem/70802cd062d9/6d847acded3d2381"
"https://willybrauner.com/journal/signal-the-push-pull-based-algorithm","Signal Push-Pull Algorithm","https://gemini.google.com/gem/70802cd062d9/257b740fa41a0ed0"
"https://www.matheusmoreira.com/articles/babys-second-garbage-collector","Conservative Garbage Collection","https://gemini.google.com/gem/70802cd062d9/0986a23d042499c4"
"https://mtlynch.io/claude-code-found-linux-vulnerability/","Claude Finds Linux Kernel Vulnerability","https://gemini.google.com/gem/70802cd062d9/53790c973688bb25"
"https://hashcloak.com/blog/understanding-the-ultrahonk-verifier","UltraHonk Verifier (Crypto)","http://gemini.google.com/gem/70802cd062d9/f3f52279264c9b09"
"https://unmitigatedrisk.com/?p=1231","TPM e Catena di Avvio","https://gemini.google.com/gem/70802cd062d9/b9c7a98b4be33dbb"
"https://blog.tangrs.id.au/2026/04/06/exploiting-cve-2026-1668-part-3/","Switch TP-LINK CVE to Root (CVE-2026-1668)",""
"https://kirancodes.me/posts/log-distributed-llms.html","Multi-Agentic Software Development is a Distributed Systems Problem","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/2249e3f975b4b498"
"https://words.filippo.io/accumulated/","Accumulated Test Vectors (Valsorda)","https://gemini.google.com/gem/70802cd062d9/590c8f24732ad74f"
"https://notebooklm.google.com/notebook/5e7b581b-1a87-4638-be03-80fb1fe6792b","JIT Compilation","Gemini discussion: https://gemini.google.com/gem/34a9a1bd4364/6637aa11c1b38850"
"https://github.com/boratanrikulu/gecit","DPI Bypass eBPF Tool (gecit)","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/5daeac3fc47360f9"
"https://nehanarula.org/2026/04/03/bitcoin-and-quantum-computing.html","Bitcoin & Post-Quantum Crypto","https://gemini.google.com/gem/70802cd062d9/593d1eccbd508e12"
"https://steganography.patrickvuscan.com/","AI Steganography","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/4e592a5fdff38fc9"
"https://www.openssh.org/pq.html","OpenSSH Post-Quantum Key Exchange Algorithm","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/69528cdd3eaeed53"
"https://tech.stonecharioteer.com/posts/2026/traceroute/","Traceroute: Understanding & Implementation","https://gemini.google.com/gem/70802cd062d9/ce20990e20d6b8c5"
"https://tombedor.dev/approaches-to-agent-memory/","AI Agent Memory Architecture (md, vector similarity, graph)","https://gemini.google.com/gem/70802cd062d9/0b62a7f1d980ec6f"
"http://werwolv.net/posts/usb_for_sw_devs/","USB in Userspace","https://gemini.google.com/gem/70802cd062d9/e06f31d242198e64"
"https://security.googleblog.com/2026/04/protecting-cookies-with-device-bound.html","DBSC (Prevent Session Cookie Theft) & Passkey Security","https://gemini.google.com/gem/70802cd062d9/98f3e9c769fd11ea"
"https://www.cs.virginia.edu/~evans/cs655/readings/ewd498.html","Dijkstra on COBOL, FORTRAN and CS Fields",""
"https://homes.cs.washington.edu/~mernst/pubs/program-analysis-book.pdf","Program Analysis","https://gemini.google.com/gem/34a9a1bd4364/3a96bbab297db17c"
"https://www.hexacorn.com/blog/2013/05/16/uvwatauavawh-meet-the-pushy-string/","English as Shellcode","https://gemini.google.com/gem/34a9a1bd4364/d6a6476d1a873504"
"https://en.wikipedia.org/wiki/Chaitin%27s_constant","Chaitin's Constant & Schmidhuber Theory (Theory of Everything)","http://gemini.google.com/gem/70802cd062d9/1e408b76e3a0ba8a"
"https://blog.jcoglan.com//2026/03/23/uses-for-nested-promises/","Monad, Functor, Nested Promise","https://gemini.google.com/gem/70802cd062d9/5784b985a39a5a64"
"https://hacks.mozilla.org/2026/02/making-webassembly-a-first-class-language-on-the-web/","WASM as First-Class Citizen","https://gemini.google.com/gem/70802cd062d9/076fb5ec5b71e06b"
"https://github.com/FiloSottile/ecc-vs-lattices-long-bet","Post-Quantum Crypto: Lattices, ECC and Beyond","https://gemini.google.com/gem/70802cd062d9/e7e0fdf62769b8e2"
"https://willhbr.net/2026/03/02/async-inject-and-effects/","Effect vs Async/Await","http://gemini.google.com/gem/70802cd062d9/8ab73eb3a22a85db"
"https://security.googleblog.com/2026/02/cultivating-robust-and-efficient.html","Merkle-Tree Certificates","https://gemini.google.com/gem/70802cd062d9/8df4d679b7569e6b"
"https://spectrum.ieee.org/the-future-of-deep-learning-is-photonic","Photonic Deep Learning","https://gemini.google.com/gem/70802cd062d9/90e357e796102044"
"https://perthirtysix.com/how-the-heck-does-shazam-work","How Shazam Works","https://gemini.google.com/gem/70802cd062d9/e7e1828ee88b3092"
"https://ljb.fyi/your-msi-isnt-an-executable/","MSI Isn't an Executable","https://gemini.google.com/gem/70802cd062d9/4ac1ba5d1b82c534"
"https://lisyarus.github.io/blog/posts/its-ok-to-compare-floating-points-for-equality.html","Comparing Floating Point Numbers","https://gemini.google.com/gem/70802cd062d9/681588e570663d28"
"https://github.com/yomaytk/elfconv","elfconv: Linux Binary to WASM","https://gemini.google.com/gem/70802cd062d9/1993841d52583e69"
"https://daniel.haxx.se/blog/2026/03/22/ntlm-and-smb-go-opt-in/","curl Denying NTLM & SMB","https://gemini.google.com/gem/70802cd062d9/0a684c3737c38b47"
"https://blog.trailofbits.com/2026/04/03/simplifying-mba-obfuscation-with-cobra/","Coefficient-Based Reconstruction of Arithmetics for MBA Obfuscation","https://gemini.google.com/gem/70802cd062d9/2cf1dcee6e695eb0"
"https://nickvsnetworking.com/somebodys-watching-me-adventures-in-cellular-locating/","Cellular Location Services","https://gemini.google.com/gem/70802cd062d9/c2c7721e121370c3"
"https://github.com/becarpenter/misc/blob/main/why6why.md","Why is IPv6 Difficult?","https://gemini.google.com/gem/70802cd062d9/d1abcd8560021f52"
"https://paseto.io/","JWT is Terrible (→ PASETO)","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/b164d54f6a56a75d"
"https://jon.chrt.dev/2026/04/15/things-you-didnt-know-about-indexes.html","Explain Indexes (Database)","https://gemini.google.com/gem/70802cd062d9/e8c51aec01c5900e"
"https://blog.dmcc.io/journal/2026-bluetooth-privacy-bluehood/","Bluehood: Get Bluetooth Secrets","https://gemini.google.com/gem/70802cd062d9/96741fa3fb39c0b5"
"https://www.philipzucker.com/thin1/","Thinning to Check Sublists","https://gemini.google.com/gem/70802cd062d9/61796b0c1e52a9ad"
"https://lwn.net/Articles/960913/","IP Fragmentation","https://gemini.google.com/gem/70802cd062d9/a0537553c99deb3d"
"https://hackingpassion.com/bluehammer-windows-defender-zero-day/","Windows Defender 0-Day","https://gemini.google.com/gem/70802cd062d9/8d8cdf31673c4189"
"https://www.hmpcabral.com/2026/03/20/two-studies-in-compiler-optimisations/","Compiler Optimisations (Assumptions and Modules)","https://gemini.google.com/gem/70802cd062d9/33a5eabb44b34bc5"
"https://ritter.vg/blog-telemetry.html","Telemetry for Security","https://gemini.google.com/gem/70802cd062d9/b69cb0ef829ea3dd"
"https://rahul.gopinath.org/post/2026/06/09/ttt-grammar-inference/","TTT Algorithm: Make DFA from Oracle","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/51f527944048bc48"
"https://movq.de/blog/postings/2026-05-05/1/POSTING-en.html","ECONNRESET Socket Programming","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/3cbad234357516c7"
"https://fzakaria.com/2026/06/01/every-byte-matters","Cache Hit, Struct of Arrays, Performance","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/d42a3067a09d4b6d"
"https://www.microsoft.com/en-us/research/blog/mimalloc-a-high-performance-scalable-memory-allocator-for-the-modern-era/","mimalloc: Multithread Allocator","https://gemini.google.com/gem/70802cd062d9/f7e3f04f3bd37586"
"https://geocar.sdf1.org/browser-verification.html","Browser Fingerprinting",""
"https://keymaterial.net/2026/06/18/on-hybrid-signatures/","ML-DSA vs Hybrid Signatures","https://gemini.google.com/gem/70802cd062d9/a54f7745525fcb18"
"https://blainsmith.com/articles/rfc-10008-http-query-method/","RFC 10008: QUERY HTTP Method","https://gemini.google.com/gem/34a9a1bd4364/c5a3d63ff83fe628"
"https://blog.trailofbits.com/2026/06/12/factoring-short-sleeve-rsa-keys-with-polynomials/","Short Sleeve RSA Keys: Factoring with Polynomials","Gemini discussion: https://gemini.google.com/gem/70802cd062d9/e676ff2ce3f54126"
"https://invlpg.com/posts/2025-06-19-premature-optimization.html","C Struct Optimization","https://gemini.google.com/gem/70802cd062d9/e4b19cdc86319f0a"
"https://keymaterial.net/2026/05/13/so-you-want-to-deploy-fn-dsa/","Falcon (FN-DSA) over ML-DSA","https://gemini.google.com/gem/70802cd062d9/f1856c7de7e91662"
"https://arstechnica.com/security/2026/06/users-cry-foul-after-amd-stripped-memory-crypto-from-its-consumer-cpus/","Encryption in RAM from AMD CPU","https://gemini.google.com/gem/70802cd062d9/ac792845f9c6a13b"
"https://arxiv.org/pdf/2210.07311","Linker Code Optimization","https://gemini.google.com/gem/34a9a1bd4364/8970dbb0ba9533ef"
"https://fil-c.org/inlineasm","Safe Inline Assembly in Fil-C","https://gemini.google.com/gem/70802cd062d9/8e09437e2385336b"
"https://pmbanugo.me/blog/why-queues-dont-fix-overload-and-what-to-do-instead","Scarico Richieste in Sistemi: Why Queues Don't Fix Overload",""
"https://spader.zone/sp/","sp.h over libc","https://gemini.google.com/gem/70802cd062d9/d272975c61b23657"
"https://drive.google.com/file/d/1SVK41y-ip3Vw9eB69E9QRy-Qn3idTOwV/view","Orchard Bug: Elliptic Curve Crypto","https://gemini.google.com/gem/70802cd062d9/944cd6afc8b69972"
"https://www.youtube.com/watch?v=-_yzaSp2xtY","Inside Linux RNG","https://gemini.google.com/gem/70802cd062d9/ca4982ce5da2c9ce"
"https://www.0xkato.xyz/how-llms-actually-work/","Transformer Introduction","https://gemini.google.com/gem/70802cd062d9/28adca7f4745859c"
"http://baseten.co/blog/i-spent-31-hours-on-the-math-behind-turboquant-so-you-dont-have-to/#quantization-existing-solutions","PolarQuant e TurboQuant","https://gemini.google.com/gem/70802cd062d9/b8bf808941510236"
"https://seiya.me/blog/microkernel-ipc-design","IPC Techniques: Microkernel IPC Design",""
https://theconsensus.dev/p/2026/05/18/serving-files-three-ways.html,HTTP ways to serve files,https://gemini.google.com/gem/70802cd062d9
https://infoscience.epfl.ch/server/api/core/bitstreams/e5d662ea-1e8d-4dda-b917-8cbb8bb40bf9/content,RRB-trees,RRB-Trees: Efficient Immutable Vectors,https://gemini.google.com/gem/34a9a1bd4364/7f3fce46a8074b42
https://bobdahacker.com/blog/fifa-hack,FIFAWC vulnerability,""
https://tiki.li/blog/blqsort,branchless quicksort,""
https://thereallo.dev/blog/claude-code-prompt-steganography,Claude Code Is Steganographically Marking Requests,https://gemini.google.com/gem/70802cd062d9/56fa4af9615165be
https://www.devever.net/~hl/webcrypto#narrow,Web-based cryptography is always snake oil,https://gemini.google.com/gem/70802cd062d9/682dd2c5e24f1af4
https://www.scientificamerican.com/article/mathematicians-still-dont-know-the-fastest-way-to-multiply-numbers/,Mathematicians still don’t know the fastest way to multiply numbers,""
https://www.youtube.com/watch?v=UgRiVUce9sY,predire è comprimere? (Antirez),""
https://lukefleed.xyz/posts/compression/,How compression is prediction?,""
